Detailed Report Categories over Three Years
Year,Category,SubCategory,# of Reports,Percentage
2019,Internet Services,Broadband Internet Cost*,"2,491",0.08%
2019,Internet Services,Broadband Internet Speed*,"1,115",0.03%
2019,Internet Services,Gaming & Virtual Reality*,"4,247",0.13%
2019,Internet Services,Internet Information Services§,"43,775",1.35%
2019,Internet Services,Online Payment Services,"11,604",0.36%
2019,Internet Services,Social Networking Services,"7,987",0.25%
2019,Internet Services,Website Content‡,7,0.00%
2019,Internet Services,Website Design & Promotion,"4,075",0.13%
2019,Investment Related,"Art, Gems & Rare Coin Investments",684,0.02%
2019,Investment Related,Investment Seminars & Advice,"7,247",0.22%
2019,Investment Related,Miscellaneous Investments,"6,312",0.19%
2019,Investment Related,Stocks & Commodity Futures Trading,"1,134",0.03%
2019,Magazines and Books,Books & Magazines,"7,623",0.23%
2019,Miscellaneous Reports,Business Equipment & Facilities Leasing,233,0.01%
2019,Miscellaneous Reports,Children's Products,"1,403",0.04%
2019,Miscellaneous Reports,Food,"1,657",0.05%
2019,Miscellaneous Reports,"Garments, Wool, Leather Goods & Textiles",898,0.03%
2019,Miscellaneous Reports,Immigration Services,966,0.03%
2019,Miscellaneous Reports,Insurance (excl. Medical),"5,837",0.18%
2019,Miscellaneous Reports,Jewelry & Watches,"4,475",0.14%
2019,Miscellaneous Reports,Modeling Agencies\Services§,192,0.01%
2019,Miscellaneous Reports,Personal Care Products,"2,396",0.07%
2019,Miscellaneous Reports,Property & Inheritance Tracers,485,0.01%
2019,Miscellaneous Reports,Real Estate,"9,939",0.31%
2019,Miscellaneous Reports,Tobacco Products,946,0.03%
2019,Miscellaneous Reports,Utilities,"16,447",0.51%
2019,Mortgage Foreclosure Relief and Debt Management,Credit & Debt Counseling,"9,664",0.30%
2019,Mortgage Foreclosure Relief and Debt Management,Mortgage Modification & Foreclosure Relief,"1,132",0.03%
2019,Office Supplies and Services,Office Directory Listings & Ad Space,"3,258",0.10%
2019,Office Supplies and Services,Office Supplies & Services,"2,365",0.07%
2019,Online Shopping and Negative Reviews,Negative Online Reviews*,779,0.02%
2019,Online Shopping and Negative Reviews,Online Shopping,"177,642",5.47%
2019,"Privacy, Data Security, and Cyber Threats",Malware & Computer Exploits†,"3,152",0.10%
2019,"Privacy, Data Security, and Cyber Threats",Privacy & Data Security‡,3,0.00%
2019,"Prizes, Sweepstakes and Lotteries","Prizes, Sweepstakes & Lotteries","124,956",3.85%
2019,Tax Preparers,Tax Preparers,"4,199",0.13%
2019,Telephone and Mobile Services,Connected Non-Wearable Devices*,458,0.01%
2019,Telephone and Mobile Services,"Mobile: Accessories, Devices, and Services§","45,742",1.41%
2019,Telephone and Mobile Services,Mobile: Applications\Other Downloads§,"2,988",0.09%
2019,Telephone and Mobile Services,Mobile: Carrier Rates\Plans§,"5,542",0.17%
2019,Telephone and Mobile Services,Mobile: Unauthorized Charges or Debits§,"3,117",0.10%
2019,Telephone and Mobile Services,Phone Billing‡,1,0.00%
2019,Telephone and Mobile Services,Phone Carrier Switching,788,0.02%
2019,Telephone and Mobile Services,"Phone Devices, Accessories & Services‡",136,0.00%
2019,Telephone and Mobile Services,Prepaid Phone Cards,"1,099",0.03%
2019,Telephone and Mobile Services,Telephone: Other§,"27,521",0.85%
2019,Telephone and Mobile Services,Telephone: Unauthorized Charges or Debits§,525,0.02%
2019,Telephone and Mobile Services,Telephone: VoIP Services§,813,0.03%
2019,Television and Electronic Media,Cable & Satellite TV,"34,890",1.08%
2019,Television and Electronic Media,Streaming & Digital Media,"1,233",0.04%
2019,Television and Electronic Media,TV Programming & Ads,"1,749",0.05%
2019,"Travel, Vacations and Timeshare Plans",Timeshare Resales,"2,391",0.07%
2019,"Travel, Vacations and Timeshare Plans",Timeshare Sales,"6,995",0.22%
2019,"Travel, Vacations and Timeshare Plans",Vacation & Travel,"27,871",0.86%
2019,Unspecified Reports,Other Misc.,"230,461",7.10%
2019,Unspecified Reports,Unauthorized Debits or Charges for Unknown Products§,"1,557",0.05%
2019,Unspecified Reports,Unsolicited Email,"40,136",1.24%
2019,Unspecified Reports,Unsolicited Text Messages,"107,663",3.32%
2019,Unspecified Reports,Unwanted Telemarketing Calls,"299,603",9.23%
2020,Advance Payments for Credit Services,Advance-Fee Credit,"13,099",0.28%
2020,Advance Payments for Credit Services,Credit Card Loss Protection,170,0.00%
2020,Advance Payments for Credit Services,Credit Repair,"3,240",0.07%
2020,Advance Payments for Credit Services,Refund Scams,333,0.01%
2020,Auto Related,Auto Financing,"9,749",0.21%
2020,Auto Related,Auto Parts & Repairs,"26,043",0.55%
2020,Auto Related,Auto Renting & Leasing,"11,256",0.24%
2020,Auto Related,Auto Service & Warranties,"10,221",0.22%
2020,Auto Related,Gasoline,682,0.01%
2020,Auto Related,New Auto Sales,"33,462",0.71%
2020,Auto Related,Used Auto Sales,"30,956",0.66%
2020,Banks and Lenders,Auto Title Lending,985,0.02%
2020,Banks and Lenders,Bank & Credit Union Lending,595,0.01%
2020,Banks and Lenders,"Banks, Credit Unions & S&Ls","63,637",1.35%
2020,Banks and Lenders,Finance Company Lending,"9,190",0.19%
2020,Banks and Lenders,Misc. Institution Lending,"13,694",0.29%
2020,Banks and Lenders,Mortgage Lending,"39,164",0.83%
2020,Banks and Lenders,Payday Loans,"6,365",0.13%
2020,Banks and Lenders,Student Loans,"37,563",0.80%
2020,Business and Job Opportunities,Business & Work-at-Home Opportunities,"17,500",0.37%
2020,Business and Job Opportunities,Franchises & Distributorships*,876,0.02%
2020,Business and Job Opportunities,Invention Promotion,"1,028",0.02%
2020,Business and Job Opportunities,Job Scams & Employment Agencies,"35,771",0.76%
2020,Business and Job Opportunities,Pyramids & Multi-Level Marketing,"3,987",0.08%
2020,Charitable Solicitations,Charitable Solicitations,"4,629",0.10%
2020,Computer Equipment and Software,Computer Equipment & Software,"21,306",0.45%
2020,"Credit Bureaus, Information Furnishers and Report Users",Credit Bureaus,"315,654",6.69%
2020,"Credit Bureaus, Information Furnishers and Report Users",Credit Information Furnishers,858,0.02%
2020,"Credit Bureaus, Information Furnishers and Report Users",Credit Report Users,336,0.01%
2020,Credit Cards,Credit Cards,"66,090",1.40%
2020,Debt Collection,Creditor Debt Collection,"39,847",0.84%
2020,Debt Collection,Third Party Debt Collection,"80,506",1.71%
2020,Education,Colleges & Universities,"24,173",0.51%
2020,Education,Trade & Vocational Schools,"2,785",0.06%
2020,Foreign Money Offers and Fake Check Scams,Fake Check Scams,"36,059",0.76%
2020,Foreign Money Offers and Fake Check Scams,Foreign Money & Inheritance Scams,"2,421",0.05%
2020,Funeral Services,Funeral Services,"1,309",0.03%
2020,Grants,Non-Educational Grants,"3,390",0.07%
2020,Grants,Scholarships & Educational Grants,625,0.01%
2020,Health Care,Connected Wearable Devices*,130,0.00%
2020,Health Care,"Diet Products, Plans & Centers","29,594",0.63%
2020,Health Care,Eye Care*,"5,664",0.12%
2020,Health Care,Health Care Billing,"1,340",0.03%
2020,Health Care,Health Care: Dietary Supplements\Herbal Remedies§,"3,805",0.08%
2020,Health Care,Health Care: Drugs-OTC\Prescription§,"2,465",0.05%
2020,Health Care,Health Care: Other Medical Treatments*§,"13,116",0.28%
2020,Health Care,Health Care: Other Products\Supplies*§,"9,018",0.19%
2020,Health Care,Medical Insurance & Discount Plans,"5,787",0.12%
2020,Health Care,Medical Treatments & Cures‡,"8,175",0.17%
2020,Health Care,Misc. Medical*‡,"4,667",0.10%
2020,"Home Repair, Improvement and Products",Home Appliances,"3,999",0.08%
2020,"Home Repair, Improvement and Products",Home Furnishings,"2,500",0.05%
2020,"Home Repair, Improvement and Products",Home Protection Devices,"1,092",0.02%
2020,"Home Repair, Improvement and Products",Home Repair,"30,337",0.64%
2020,"Home Repair, Improvement and Products",Home Warranties‡,243,0.01%
2020,"Home Repair, Improvement and Products",Housing,"14,465",0.31%
2020,Identity Theft,Identity Theft,"1,387,615",29.39%
2020,Imposter Scams,Business Imposters,"154,904",3.28%
2020,Imposter Scams,Family & Friend Imposters,"25,106",0.53%
